name,conductor,url,location,notes
Albany Chamber Orchestra,Teresa Colyer,https://albanychamberorchestra.weebly.com,Albany,
Awesome Orchestra,David Moeschler,http://www.awesomeorchestra.org,Berkeley/Oakland/multiple,Pickup orchestra with open reading sessions regularly throughout the year
Bay Area Rainbow Symphony,Dawn Harms,https://bars-sf.org,San Francisco,
Cambrian Symphony,Scott Krijnen,http://www.cambriansymphony.org,Cambrian,
Castro Valley Orchestra,Josh Cohen,http://www.musicmacher.com/cvo-wp,Castro Valley,
Community Women's Orchestra,TBD,https://www.communitywomensorchestra.org,Oaklan,
Contra Costa Chamber Orchestra,TBD,https://contracostachamberorchestra.org,,
Diablo Symphony,Matilda Hofman,https://www.diablosymphony.org,Walnut Creek,
Golden Gate Symphony,Urs Leonhardt Steiner,https://www.goldengatesymphony.org,San Francisco,
Kensington Symphony,Geoffrey Gallegos,https://www.kensingtonsymphonyorchestra.org,Kensington,
Livermore-Amador Symphony,Lara Webber,http://livermoreamadorsymphony.org,Livermore,
Master Sinfonia,David Ramadanoff,https://mastersinfonia.org,Los Altos/Palo Alto,
Mill Valley Philharmonic,Dana Sadava,https://www.millvalleyphilharmonic.org,,
Mission Chamber Orchestra,Emily Ray,http://www.missionchamber.org,San Jose,
Mission College Symphony,Joseph Ordaz,https://missioncollege.edu/depts/music/symphony/index.html,Santa Clara,
Nova Vista Symphony,Tony Quartuccio,https://www.novavista.org,Cupertino/Saratoga,
Oakland Civic Orchestra,Martha Stoddard,https://www.oaklandcivicorchestra.com,Oakland,
Oakland Community Orchestra,Sue Crum,https://www.oaklandcommunityorchestra.org,Oakland,Mostly retired members
Palo Alto Philharmonic,Lara Webber,https://www.paphil.org,Palo Alto,
Peninsula Symphony,Mitchell Sardou Klein,https://peninsulasymphony.org,multiple,
Prometheus Symphony,Eric Hanson,https://www.prometheussymphony.org,Oakland,
Redwood Symphony,Eric Kujawski,https://www.redwoodsymphony.org,Redwood City,
San Francisco Civic Symphony,Thomas Alexander,https://www.sfcivicmusic.org,San Francisco,
San Francisco Philharmonic,Jessica Bejarano,https://www.facebook.com/sfphilharmonic,San Francisco,
Saratoga Symphony,Jason Klein,http://www.saratogasymphony.com,Saratoga,
Solano Symphony,Semyon Lohss,https://www.solanosymphony.org,Fairfield/Vacaville,
Winchester Orchestra,Scott Seaton,https://www.winchesterorchestra.com,San Jose,
